,Anio,Nomcultivo,totalsin,,,,,,,,
139,2011,Sandia,51,,,,,,,,
140,2012,Ajonjoli,130,,,,,,,,
141,2012,Frijol,78,,,,,,,,
142,2012,Maiz grano,34838.5,,,,,,,,
143,2012,Sorgo grano,87,,,,,,,,
144,2013,Ajonjoli,1281,,,,,,,,
145,2013,Cacahuate,221,,,,,,,,
146,2013,Chile seco,48.5,,,,,,,,
147,2013,Frijol,2242.25,,,,,,,,
148,2013,Jamaica,3,,,,,,,,
149,2013,Maiz grano,52231.3,,,,,,,,
150,2013,Sandia,3,,,,,,,,
151,2013,Sorgo forrajero en verde,4,,,,,,,,
152,2013,Sorgo grano,200.5,,,,,,,,
153,2013,Trigo grano,5630.5,,,,,,,,
154,2014,Ajonjoli,450,,,,,,,,
155,2014,Frijol,410.75,,,,,,,,
156,2014,Jamaica,303,,,,,,,,
157,2014,Maiz grano,74690.47,,,,,,,,
158,2014,Sorgo grano,800,,,,,,,,
159,2014,Trigo grano,109,,,,,,,,
160,2015,Ajonjoli,372,,,,,,,,
161,2015,Cebada grano,17.5,,,,,,,,
162,2015,Chile seco,4,,,,,,,,
163,2015,Frijol,248.75,,,,,,,,
164,2015,Maiz grano,92181,,,,,,,,
165,2015,Sorgo grano,14411,,,,,,,,
166,2015,Trigo grano,796.5,,,,,,,,
167,2016,Frijol,69,,,,,,,,
168,2016,Maiz grano,90333.73,,,,,,,,
169,2017,Ajonjoli,75,,,,,,,,
170,2017,Cafe cereza,3085.08,,,,,,,,
171,2017,Cebada grano,13.25,,,,,,,,
172,2017,Chile verde,38.5,,,,,,,,
173,2017,Frijol,2731.15,,,,,,,,
174,2017,Maiz grano,86389.25,,,,,,,,
175,2017,Papa,0.5,,,,,,,,
176,2017,Sorgo grano,786,,,,,,,,
177,2017,Tomate rojo (jitomate),1,,,,,,,,
178,2018,Ajonjoli,45,,,,,,,,
179,2018,Frijol,159,,,,,,,,
180,2018,Maiz grano,138445.55,,,,,,,,
181,2018,Sorgo grano,274,,,,,,,,
182,2018,Trigo grano,670,,,,,,,,
183,2019,Ajonjoli,115,,,,,,,,
184,2019,Cacahuate,51,,,,,,,,
185,2019,Frijol,215,,,,,,,,
186,2019,Maiz grano,153256.5,,,,,,,,
187,2019,Trigo grano,265,,,,,,,,
